0,1,departure,destination,distance,weighted_distance,log
"('40258', '40272')",1,40258,40272,2811.58255883,2811.58255883,inf
"('10302', '84025')",1,10302,84025,4199485.10685,4199485.10685,inf
"('89012', '91352')",1,89012,91352,379986.564402,379986.564402,inf
"('53220', '92618')",1,53220,92618,3304264.97128,3304264.97128,inf
"('52002', '55414')",1,52002,55414,272986.509409,272986.509409,inf
"('37932', '64030')",1,37932,64030,1147595.96183,1147595.96183,inf
"('46902', '46970')",1,46902,46970,4422.76165314,4422.76165314,inf
"('36830', '36832')",1,36830,36832,10380.686449,10380.686449,inf
"('75234', '76051')",1,75234,76051,19995.5467961,19995.5467961,inf
"('14894', '33605')",1,14894,33605,684515.55185,684515.55185,inf
"('62801', '62858')",1,62801,62858,72155.958621,72155.958621,inf
"('33181', '33442')",1,33181,33442,7825.6928791,7825.6928791,inf
"('37922', '76901')",1,37922,76901,1828300.6594,1828300.6594,inf
"('30084', '30116')",1,30084,30116,87563.2242902,87563.2242902,inf
"('30518', '32091')",1,30518,32091,218486.120693,218486.120693,inf
"('80221', '80229')",1,80221,80229,6095.20978129,6095.20978129,inf
"('33762', '34668')",1,33762,34668,6531.34116482,6531.34116482,inf
"('31503', '64052')",1,31503,64052,1334760.57515,1334760.57515,inf
"('20006', '25271')",1,20006,25271,517180.976949,517180.976949,inf
"('70433', '70435')",1,70433,70435,5523.55163473,5523.55163473,inf
"('85031', '90058')",1,85031,90058,673096.022358,673096.022358,inf
"('11501', '11530')",1,11501,11530,644.169781944,644.169781944,inf
"('84119', '97385')",1,84119,97385,1216412.28073,1216412.28073,inf
"('94102', '94124')",2,94102,94124,5062.66891879,2531.33445939,7304.8873428
"('90221', '90222')",1,90221,90222,3705.50074549,3705.50074549,inf
"('89144', '91364')",1,89144,91364,377869.037517,377869.037517,inf
"('60301', '60302')",1,60301,60302,1025.76793646,1025.76793646,inf
"('30519', '90059')",1,30519,90059,3814527.71645,3814527.71645,inf
"('46563', '49512')",1,46563,49512,89721.1630855,89721.1630855,inf
"('38778', '72455')",1,38778,72455,55499.5040037,55499.5040037,inf
"('11420', '11436')",1,11420,11436,2348.11546569,2348.11546569,inf
"('59101', '59102')",1,59101,59102,21880.5103054,21880.5103054,inf
"('77339', '77345')",1,77339,77345,7014.35350861,7014.35350861,inf
"('17844', '85043')",1,17844,85043,3896132.41,3896132.41,inf
"('33126', '66048')",1,33126,66048,1623961.23893,1623961.23893,inf
"('85258', '95340')",1,85258,95340,965803.379058,965803.379058,inf
"('40831', '40965')",1,40831,40965,40783.4366255,40783.4366255,inf
"('47403', '47404')",1,47403,47404,2512.24828931,2512.24828931,inf
"('33594', '77065')",1,33594,77065,1485491.80731,1485491.80731,inf
"('91311', '92316')",1,91311,92316,135359.287074,135359.287074,inf
"('63089', '77494')",1,63089,77494,550658.101581,550658.101581,inf
"('18466', '19804')",1,18466,19804,48089.7665106,48089.7665106,inf
"('75137', '90058')",1,75137,90058,2368725.50878,2368725.50878,inf
"('75006', '76051')",1,75006,76051,19238.5629813,19238.5629813,inf
"('90503', '91746')",1,90503,91746,42335.4669113,42335.4669113,inf
"('30040', '84120')",1,30040,84120,3089395.75287,3089395.75287,inf
"('25301', '25314')",1,25301,25314,1298.55881494,1298.55881494,inf
"('38115', '38141')",3,38115,38141,652.581010049,217.52700335,595.004833899
"('91786', '92618')",1,91786,92618,23956.6661571,23956.6661571,inf
"('40258', '55041')",1,40258,55041,715364.60742,715364.60742,inf
"('84057', '85338')",1,84057,85338,299991.807595,299991.807595,inf
"('53051', '53105')",1,53051,53105,17744.431983,17744.431983,inf
"('55014', '55041')",1,55014,55041,89913.8102781,89913.8102781,inf
"('66215', '92311')",1,66215,92311,2472292.58698,2472292.58698,inf
"('49048', '55369')",1,49048,55369,884576.627392,884576.627392,inf
"('32225', '33705')",1,32225,33705,132700.461522,132700.461522,inf
"('66111', '66112')",1,66111,66112,1835.47929868,1835.47929868,inf
